target,ref,is_self_pair,rank,signal_type,counter_trade,use_excess_return,threshold_width,hold_days,start_days,sma_period,trade_count,average_pct,std_pct,t_value,win_rate,positive_year_ratio,worst_year_profit,neighbor_expected_count,neighbor_valid_count,neighbor_coverage_ratio,neighbor_mean_t,neighbor_worst_t,neighbor_positive_ratio_expected,neighbor_t_ge_1_ratio_expected,signal_type_support_t_ge_1,signal_type_support_t_ge_2,eligible_task_count,eligible_task_positive_ratio,eligible_task_t_ge_1_ratio,eligible_mean_t,eligible_median_t
US30_Futures,GBP_AUD,False,5887,change,True,False,1.000000000,20,1,50,191,0.327692776,4.132608773,1.095870556,57.591623037,71.428571429,-1923.000000000,2,2,1.000000000,0.127049051,-0.043411535,0.500000000,0.000000000,1,0,38,0.421052632,0.026315789,-0.111987574,-0.118403415
US30_Futures,GBP_CHF,False,437,sma,True,False,1.000000000,20,1,15,171,0.751351336,4.406324824,2.229793313,55.555555556,78.571428571,-2547.000000000,2,2,1.000000000,0.615790611,0.358530159,1.000000000,0.000000000,5,2,36,0.500000000,0.277777778,-0.108848485,-0.088187989
US30_Futures,GBP_JPY,False,7374,change,False,False,1.000000000,20,1,100,195,0.297188475,4.286409926,0.968178795,52.820512821,50.000000000,-2321.000000000,2,2,1.000000000,0.263292019,0.234817441,1.000000000,0.000000000,0,0,38,0.473684211,0.000000000,-0.107092528,-0.118021390
US30_Futures,GBP_USD,False,7987,sma,False,False,1.000000000,20,1,100,180,0.295708512,4.293341279,0.924069563,54.444444444,50.000000000,-2300.000000000,2,2,1.000000000,0.381864955,-0.004789089,0.500000000,0.000000000,0,0,38,0.421052632,0.000000000,-0.112761316,-0.120135230
US30_Futures,GOLD_USD,False,4716,bb,True,False,1.500000000,20,1,10,219,0.360932096,4.400350166,1.213836867,55.251141553,64.285714286,-1622.000000000,5,5,1.000000000,0.877298291,-0.113386718,0.800000000,0.400000000,2,0,36,0.472222222,0.055555556,-0.112272990,-0.117444149
US30_Futures,NQ100_Futures,False,3340,sma,False,False,1.000000000,20,1,100,198,0.427595878,4.338652115,1.386791838,56.060606061,57.142857143,-2898.000000000,2,2,1.000000000,0.200947175,-0.481911614,0.500000000,0.000000000,2,0,40,0.400000000,0.050000000,-0.120108249,-0.117824293
US30_Futures,NZD_JPY,False,5241,di,True,False,20.000000000,20,1,10,168,0.345671816,3.861305823,1.160337725,51.190476190,85.714285714,-2418.200000000,1,1,1.000000000,0.720792897,0.720792897,1.000000000,0.000000000,2,0,38,0.447368421,0.052631579,-0.117239651,-0.118552507
US30_Futures,NZD_USD,False,6790,sma,False,False,1.000000000,20,1,200,185,0.298404263,3.995007856,1.015952140,55.135135135,50.000000000,-2104.000000000,1,1,1.000000000,0.838043781,0.838043781,1.000000000,0.000000000,1,0,40,0.350000000,0.025000000,-0.115817398,-0.113828396
US30_Futures,OIL_USD,False,1559,stoch,False,False,30.000000000,20,1,50,160,0.618922332,4.481650227,1.746860342,56.875000000,64.285714286,-1164.000000000,2,2,1.000000000,0.786304837,0.417648056,1.000000000,0.500000000,2,0,40,0.475000000,0.050000000,-0.117082379,-0.111130153
US30_Futures,SILVER_USD,False,379,bb,True,False,1.500000000,20,1,10,208,0.693743021,4.365516478,2.291894712,54.807692308,78.571428571,-1869.000000000,5,5,1.000000000,1.628512229,1.093614186,1.000000000,1.000000000,4,1,36,0.500000000,0.277777778,-0.118687455,-0.121764726
US30_Futures,TRY_JPY,False,15031,change,False,False,1.000000000,20,1,10,254,0.151517295,4.663600241,0.517794877,50.000000000,42.857142857,-1271.000000000,1,1,1.000000000,0.117922885,0.117922885,1.000000000,0.000000000,0,0,34,0.411764706,0.000000000,-0.117089957,-0.112063499
US30_Futures,UK100_Futures,False,6100,sma,False,False,1.000000000,20,1,200,193,0.329794164,4.255229484,1.076709720,58.549222798,64.285714286,-3577.000000000,1,1,1.000000000,0.696590532,0.696590532,1.000000000,0.000000000,1,0,40,0.375000000,0.025000000,-0.116764393,-0.117271852
US30_Futures,US30_Futures,True,10996,bb,True,False,1.500000000,20,1,15,198,0.215999848,4.170467437,0.728788156,48.989898990,64.285714286,-1395.000000000,8,8,1.000000000,0.597217213,-0.118185975,0.875000000,0.250000000,0,0,40,0.375000000,0.000000000,-0.115079694,-0.110768619
US30_Futures,USD_CAD,False,8200,change,False,False,1.000000000,20,1,10,225,0.288325395,4.761563021,0.908290180,51.111111111,64.285714286,-1471.000000000,1,1,1.000000000,-0.177383967,-0.177383967,0.000000000,0.000000000,0,0,40,0.375000000,0.000000000,-0.109613293,-0.112919679
US30_Futures,USD_CHF,False,2069,bb,True,False,1.000000000,20,1,10,258,0.459309180,4.552451483,1.620576932,55.038759690,78.571428571,-1693.000000000,3,3,1.000000000,0.731827806,0.134560531,1.000000000,0.333333333,4,0,36,0.500000000,0.194444444,-0.116438316,-0.110618030
US30_Futures,USD_JPY,False,11849,change,False,False,1.000000000,20,1,50,193,0.210327911,4.285363495,0.681848513,48.186528497,50.000000000,-2438.000000000,2,2,1.000000000,-0.534447232,-0.651397986,0.000000000,0.000000000,0,0,36,0.444444444,0.000000000,-0.109642151,-0.110901387
